epoch,train_loss,train_ic,val_loss,val_ic,val_rank_ic,val_mse,val_r2
0,10.625573635854218,-0.0006796933771342682,10.52485200480411,-6.0389771911350134e-05,0.006699689278050594,10.52631950378418,-8.475780487060547e-05
1,10.623631871875963,-0.0008325050130261991,10.524012532485159,-0.0012334014168010486,0.009232135186600344,10.525481224060059,-5.125999450683594e-06
2,10.62485104410272,0.000392264277614358,10.523987020191393,-0.0012515396060702145,0.006457496713841785,10.525457382202148,-2.86102294921875e-06
3,10.625064004847879,0.000603666920104312,10.523988635414526,-0.0007283570704100131,0.011232994279934001,10.525455474853516,-2.7418136596679688e-06
4,10.623840732574463,0.0015918302383552284,10.523969943397924,-0.0008008524295268185,0.0021624949340304945,10.525440216064453,-1.3113021850585938e-06
5,10.623177604675293,-0.0004868599685849054,10.523980997989053,-0.0007268044519150337,0.001028981678882473,10.5254487991333,-2.0265579223632812e-06
6,10.623934882063615,0.0015037069184613988,10.524605127133821,-0.0006921253697364635,-0.004612776792952821,10.526074409484863,-6.151199340820312e-05
7,10.623385719751058,0.0020896526609444103,10.524523303885209,-7.178382953313875e-05,3.358533544072131e-05,10.52599048614502,-5.352497100830078e-05
8,10.62363094254544,0.0008281146519100917,10.524063090776142,-0.0004155610252348386,0.0036451651915732504,10.525531768798828,-1.0013580322265625e-05
9,10.625347838903728,0.0007923220365976062,10.525807099593314,-0.0002919207460636462,0.0005532139942981779,10.527274131774902,-0.00017547607421875
10,10.623531779490019,0.0016606538170800807,10.525117184488398,-0.00033169531150291533,-0.00513898518946669,10.52658748626709,-0.00011026859283447266
11,10.623377478248194,0.00229937154308188,10.524177375592684,0.00042865733972899264,0.005171469263194664,10.52564525604248,-2.0742416381835938e-05
12,10.622456331754986,0.001378652591106673,10.52429251620644,-0.0005816138165750884,-0.009111338253643075,10.525762557983398,-3.1828880310058594e-05
13,10.624468601628354,0.0020296066677820777,10.5239740592555,-0.0009641846607303724,0.0034191100553515514,10.525444030761719,-1.5497207641601562e-06
14,10.625746340500681,-0.00012321055957528632,10.523983670284874,0.00040412656854889805,0.007437013926966374,10.52545166015625,-2.384185791015625e-06
15,10.626475313588193,0.000619049158562966,10.52395995441236,-0.0012230361447878322,0.0036861687103385823,10.525426864624023,0.0
16,10.624318656419453,-0.001061056812251793,10.52397970450552,-0.000542648759436567,0.0033093385044766404,10.525449752807617,-2.1457672119140625e-06
17,10.626438670911288,-0.0016015823007011912,10.523967033687391,-0.0010016760127574673,0.0028249339384418958,10.525435447692871,-8.344650268554688e-07
18,10.623931490998519,0.0003596776756850835,10.52442430646796,-0.001239245657295668,-0.002023785762194273,10.525895118713379,-4.4465065002441406e-05
19,10.624109247107254,-0.0016004592706959772,10.524007441370111,-0.001299097167343077,-0.002867057249637695,10.525477409362793,-4.76837158203125e-06
20,10.623530037277623,-0.0019626916872016883,10.523978245885749,-0.0004059906598054059,0.006345476356670337,10.525446891784668,-1.9073486328125e-06
21,10.625902993553563,0.002071880449617109,10.525359768114592,-0.0012464821401129225,-0.003613792386771451,10.52682876586914,-0.00013315677642822266
22,10.622800862914637,0.001972811306872985,10.523966380169517,-0.0006718087368375683,0.009500917039557575,10.525436401367188,-8.344650268554688e-07
23,10.623844110589278,-0.0002000058464497336,10.523995817084062,-0.0005027537874263414,-0.0018965728534066722,10.525464057922363,-3.5762786865234375e-06
24,10.626932491252298,0.001404310819090927,10.524095614583869,-0.0010714269005413278,0.004009549457123499,10.525566101074219,-1.3232231140136719e-05
25,10.62621802430404,0.0019271886240698058,10.525505671250192,-0.0007116205312279087,-0.0061572013581803,10.526975631713867,-0.00014710426330566406
26,10.624837472815262,0.0020772169162242096,10.524390154386822,-0.0007651159305844124,0.004766056286754264,10.525860786437988,-4.124641418457031e-05
